NDVI,date
0.2613141823,2018-01-10
0.2999478338,2018-01-10
0.1680270351,2018-01-10
0.3088931974,2018-01-10
0.2486592158,2018-01-15
0.3117442571,2018-01-15
0.1539313922,2018-01-15
0.3211514725,2018-01-15
0.2666464055,2018-01-20
0.3310087758,2018-01-20
0.1632896421,2018-01-20
0.3366803946,2018-01-20
0.2736074254,2018-01-30
0.3320331866,2018-01-30
0.1719928473,2018-01-30
0.3366187404,2018-01-30
0.2755866362,2018-02-09
0.3659404853,2018-02-09
0.1727655095,2018-02-09
0.3769766091,2018-02-09
0.3140989087,2018-02-14
0.422662733,2018-02-14
0.2057622661,2018-02-14
0.429581343,2018-02-14
0.288806916,2018-02-19
0.3825179471,2018-02-19
0.1789864313,2018-02-19
0.3872525589,2018-02-19
0.1764435155,2018-02-24
0.2510427363,2018-02-24
0.08717737226,2018-02-24
0.2252227605,2018-02-24
0.1704133051,2018-03-01
0.2248470086,2018-03-01
0.1046801269,2018-03-01
0.2753450214,2018-03-01
0.2856249256,2018-03-06
0.4108247853,2018-03-06
0.2008951199,2018-03-06
0.41002229,2018-03-06
0.1606672481,2018-03-11
0.3763170652,2018-03-11
0.1862154991,2018-03-11
0.3749754859,2018-03-11
0.2075780268,2018-03-16
0.3101754969,2018-03-16
0.1334956296,2018-03-16
0.3037822023,2018-03-16
0.2004997135,2018-03-26
0.2712720937,2018-03-26
0.1776431472,2018-03-26
0.2704216993,2018-03-26
0.1706600889,2018-03-31
0.1981110184,2018-03-31
0.164345957,2018-03-31
0.2024445462,2018-03-31
0.1029692802,2018-04-05
0.1053381718,2018-04-05
0.1195571073,2018-04-05
0.1109274983,2018-04-05
0.1210532503,2018-04-10
0.110044246,2018-04-10
0.1412337176,2018-04-10
0.1229290743,2018-04-10
0.1343728491,2018-04-15
0.1302411331,2018-04-15
0.1583271937,2018-04-15
0.1403984158,2018-04-15
0.1205156353,2018-04-20
0.1089347108,2018-04-20
0.1403726061,2018-04-20
0.11709732,2018-04-20
0.1495777841,2018-04-25
0.132354326,2018-04-25
0.1771092451,2018-04-25
0.1438015424,2018-04-25
0.1316743684,2018-04-30
0.1129067096,2018-04-30
0.1561279227,2018-04-30
0.1270173007,2018-04-30
0.1254756653,2018-05-05
0.106570142,2018-05-05
0.15263088,2018-05-05
0.1220383698,2018-05-05
0.1357000306,2018-05-10
0.1152988209,2018-05-10
0.1683799811,2018-05-10
0.1225302304,2018-05-10
0.07751848507,2018-05-15
0.06057491913,2018-05-15
0.1008462104,2018-05-15
0.06856667339,2018-05-15
0.08226087346,2018-05-20
0.09927364997,2018-05-20
0.1210638424,2018-05-20
0.1136099073,2018-05-20
0.1417498918,2018-05-25
0.1432563134,2018-05-25
0.1714701081,2018-05-25
0.1533122534,2018-05-25
0.07155583718,2018-05-30
0.06163804827,2018-05-30
0.08892988517,2018-05-30
0.08231401655,2018-05-30
0.08321298973,2018-06-04
0.08820639197,2018-06-04
0.1024571523,2018-06-04
0.09360319195,2018-06-04
0.06130168258,2018-06-09
0.05567461225,2018-06-09
0.08575810982,2018-06-09
0.05393571047,2018-06-09
0.06428558456,2018-06-14
0.07179883844,2018-06-14
0.07057637792,2018-06-14
0.07384867074,2018-06-14
0.1278393957,2018-06-19
0.135624332,2018-06-19
0.1490734224,2018-06-19
0.1384260917,2018-06-19
0.1128515319,2018-06-24
0.1268253226,2018-06-24
0.1154074168,2018-06-24
0.131257894,2018-06-24
0.02970958361,2018-06-29
0.01921562411,2018-06-29
0.007449886265,2018-06-29
0.01158825844,2018-06-29
0.005602853467,2018-07-04
4.80E-04,2018-07-04
0.06476123499,2018-07-04
0.002412206638,2018-07-04
0.1516004587,2018-07-09
0.1583505535,2018-07-09
0.1720525022,2018-07-09
0.1678779229,2018-07-09
0.05086692812,2018-07-14
0.09936390608,2018-07-14
0.03574242885,2018-07-14
0.06962266546,2018-07-14
0.1572620425,2018-07-19
0.1588997577,2018-07-19
0.1544039695,2018-07-19
0.1897219603,2018-07-19
0.1107436481,2018-07-24
0.2009377241,2018-07-24
0.1300286144,2018-07-24
0.1409749167,2018-07-24
0.2310662391,2018-07-29
0.2804284738,2018-07-29
0.2481343099,2018-07-29
0.2746861599,2018-07-29
0.2230390499,2018-08-03
0.204009255,2018-08-03
0.2170070556,2018-08-03
0.2278697593,2018-08-03
0.1745101095,2018-08-08
0.23246483,2018-08-08
0.1498933941,2018-08-08
0.2338106945,2018-08-08
0.08138593426,2018-08-13
0.08027554433,2018-08-13
0.07464909343,2018-08-13
0.07333172162,2018-08-13
0.1529480517,2018-08-18
0.1358126083,2018-08-18
0.1572807259,2018-08-18
0.2036390323,2018-08-18
0.01416202053,2018-08-23
0.02344634712,2018-08-23
0.04436520999,2018-08-23
0.04198975162,2018-08-23
-0.009183673866,2018-08-28
-4.01E-04,2018-08-28
0.02177088806,2018-08-28
0.009119613072,2018-08-28
-0.009842904483,2018-09-02
-0.003720242105,2018-09-02
-0.001587377108,2018-09-02
-0.002551413966,2018-09-02
0.2809967288,2018-09-07
0.3877050125,2018-09-07
0.2042604283,2018-09-07
0.3815994188,2018-09-07
0.2447841108,2018-09-12
0.4169710292,2018-09-12
0.2932540244,2018-09-12
0.4044988568,2018-09-12
0.2530544069,2018-09-17
0.3690380433,2018-09-17
0.2684623911,2018-09-17
0.3534324929,2018-09-17
-0.02061125148,2018-09-22
-0.03457247816,2018-09-22
-0.02973663314,2018-09-22
-0.03886423607,2018-09-22
0.2958830473,2018-09-27
0.3804198737,2018-09-27
0.299723542,2018-09-27
0.3608064614,2018-09-27
0.2866182175,2018-10-02
0.3547738645,2018-10-02
0.3016174884,2018-10-02
0.3350479601,2018-10-02
0.2550620875,2018-10-07
0.3158644474,2018-10-07
0.2733682775,2018-10-07
0.2952119157,2018-10-07
0.2492801839,2018-10-12
0.3083815598,2018-10-12
0.2723605966,2018-10-12
0.2941057944,2018-10-12
0.2262319255,2018-10-17
0.2496345934,2018-10-17
0.2384488303,2018-10-17
0.2343462341,2018-10-17
0.215689368,2018-10-22
0.2331383934,2018-10-22
0.2381741966,2018-10-22
0.2244012248,2018-10-22
0.1286292367,2018-10-27
0.129133047,2018-10-27
0.1300292982,2018-10-27
0.1279399453,2018-10-27
0.1095300251,2018-11-01
0.1038354224,2018-11-01
0.1074440183,2018-11-01
0.1228064648,2018-11-01
0.2273432076,2018-11-06
0.2118693165,2018-11-06
0.2302405426,2018-11-06
0.2215405598,2018-11-06
0.1673379313,2018-11-11
0.1039494075,2018-11-11
0.1488474357,2018-11-11
0.1099452062,2018-11-11
0.2373623085,2018-11-16
0.1867643858,2018-11-16
0.2294356976,2018-11-16
0.2062299271,2018-11-16
0.2003443731,2018-11-21
0.1521184819,2018-11-21
0.1805199742,2018-11-21
0.1712447702,2018-11-21
0.2126102959,2018-11-26
0.1515021331,2018-11-26
0.1825546052,2018-11-26
0.1668872193,2018-11-26
0.2376956459,2018-12-01
0.1734937071,2018-12-01
0.1974409603,2018-12-01
0.1916330231,2018-12-01
0.1792135597,2018-12-06
0.1525995761,2018-12-06
0.1236285413,2018-12-06
0.1727847085,2018-12-06
0.06152352385,2018-12-11
0.04657719977,2018-12-11
0.01821599404,2018-12-11
0.06228371177,2018-12-11
0.2727493389,2018-12-16
0.2518429527,2018-12-16
0.1969930362,2018-12-16
0.2660756452,2018-12-16
0.234586507,2018-12-21
0.2295274646,2018-12-21
0.1563344041,2018-12-21
0.2431848247,2018-12-21
0.2403912258,2018-12-26
0.2543011442,2018-12-26
0.150792571,2018-12-26
0.2628889944,2018-12-26
0.2308777693,2018-12-31
0.2570411632,2018-12-31
0.1458759893,2018-12-31
0.2748147778,2018-12-31
0.1635177714,2019-01-05
0.1609331133,2019-01-05
0.09364929316,2019-01-05
0.176554888,2019-01-05
0.2549611266,2019-01-10
0.2844081243,2019-01-10
0.167830408,2019-01-10
0.2768742008,2019-01-10
0.1075843659,2019-01-15
0.1229242219,2019-01-15
0.08350490689,2019-01-15
0.1398276376,2019-01-15
0.2541298065,2019-01-20
0.3067773938,2019-01-20
0.1477103945,2019-01-20
0.3194499475,2019-01-20
0.173205364,2019-01-25
0.2079183698,2019-01-25
0.1464058938,2019-01-25
0.2296478599,2019-01-25
0.2291217341,2019-01-30
0.2537209785,2019-01-30
0.137831375,2019-01-30
0.2584666424,2019-01-30
0.1318450195,2019-02-04
0.1733930697,2019-02-04
0.1739352504,2019-02-04
0.2496021021,2019-02-04
0.3306949649,2019-02-09
0.4256357401,2019-02-09
0.2313195917,2019-02-09
0.4362223844,2019-02-09
0.007773389224,2019-02-14
0.01169158322,2019-02-14
0.007309487306,2019-02-14
0.01193368052,2019-02-14
0.2100249416,2019-02-19
0.1156714942,2019-02-19
0.1206164926,2019-02-19
0.1088338418,2019-02-19
0.3175681773,2019-02-24
0.4347905319,2019-02-24
0.2168098249,2019-02-24
0.4041929457,2019-02-24
0.3323533278,2019-03-01
0.4469872685,2019-03-01
0.2476324091,2019-03-01
0.4529642874,2019-03-01
0.318354753,2019-03-06
0.4380426776,2019-03-06
0.2395039109,2019-03-06
0.4414310342,2019-03-06
0.2508667972,2019-03-11
0.3505631291,2019-03-11
0.1894764053,2019-03-11
0.3466423035,2019-03-11
0.289214535,2019-03-16
0.3903085065,2019-03-16
0.2323425346,2019-03-16
0.3955760951,2019-03-16
0.2369999665,2019-03-21
0.3063014446,2019-03-21
0.1808003907,2019-03-21
0.3137486896,2019-03-21
0.2667590118,2019-03-26
0.3741684632,2019-03-26
0.2305280382,2019-03-26
0.3728419146,2019-03-26
0.2550297641,2019-03-31
0.34601906,2019-03-31
0.2292607093,2019-03-31
0.3456639238,2019-03-31
0.1800206861,2019-04-05
0.230102305,2019-04-05
0.1739615707,2019-04-05
0.2302667674,2019-04-05
0.1768757918,2019-04-10
0.2047132577,2019-04-10
0.1944288073,2019-04-10
0.2092641672,2019-04-10
0.1722270203,2019-04-15
0.1846222424,2019-04-15
0.1980396648,2019-04-15
0.189809981,2019-04-15
0.1634245137,2019-04-20
0.1531743917,2019-04-20
0.1808885415,2019-04-20
0.1467140144,2019-04-20
0.128509315,2019-04-25
0.125793636,2019-04-25
0.1457404522,2019-04-25
0.1289796585,2019-04-25
0.1423186758,2019-04-30
0.1371272553,2019-04-30
0.1665464748,2019-04-30
0.1431344633,2019-04-30
0.1741671628,2019-05-05
0.1616076613,2019-05-05
0.2064397069,2019-05-05
0.1692284998,2019-05-05
0.1315212724,2019-05-10
0.1163268034,2019-05-10
0.1582708238,2019-05-10
0.1232385064,2019-05-10
0.04292292961,2019-05-15
0.02213269317,2019-05-15
0.05419012419,2019-05-15
0.02360864179,2019-05-15
0.1577882117,2019-05-20
0.1365996124,2019-05-20
0.1980665296,2019-05-20
0.1429930895,2019-05-20
0.1776582454,2019-05-25
0.161003609,2019-05-25
0.2186153089,2019-05-25
0.1666837174,2019-05-25
0.1620533057,2019-05-30
0.1490195245,2019-05-30
0.1933451985,2019-05-30
0.1542808966,2019-05-30
0.1285545664,2019-06-04
0.1164354293,2019-06-04
0.1562880116,2019-06-04
0.1233057105,2019-06-04
0.1463133897,2019-06-09
0.1375164174,2019-06-09
0.1709306276,2019-06-09
0.1482734918,2019-06-09
0.1526626559,2019-06-14
0.14493153,2019-06-14
0.181535329,2019-06-14
0.1523726151,2019-06-14
0.145140018,2019-06-19
0.1599476871,2019-06-19
0.1697205005,2019-06-19
0.1713874488,2019-06-19
0.001404524371,2019-06-24
-0.009030774333,2019-06-24
0.001455739731,2019-06-24
0.002982566709,2019-06-24
0.1315218508,2019-06-29
0.1409725002,2019-06-29
0.1618160625,2019-06-29
0.1541389957,2019-06-29
-0.01109733271,2019-07-04
-0.01752812322,2019-07-04
0.009889292687,2019-07-04
1.86E-04,2019-07-04
0.003125330413,2019-07-09
0.01681298467,2019-07-09
-0.01426073309,2019-07-09
0.00870658052,2019-07-09
0.08411412371,2019-07-14
0.09288381343,2019-07-14
0.09146704505,2019-07-14
0.09604384018,2019-07-14
0.09622585703,2019-07-19
0.04911596899,2019-07-19
0.1059533603,2019-07-19
0.02692645265,2019-07-19
0.06582412744,2019-07-24
0.07162621422,2019-07-24
0.08121335526,2019-07-24
0.0628384206,2019-07-24
0.07542536453,2019-07-29
0.1740726596,2019-07-29
0.07274001392,2019-07-29
0.1894656844,2019-07-29
0.009689190341,2019-08-03
0.005248261901,2019-08-03
0.00670051035,2019-08-03
0.001761908542,2019-08-03
0.3089957662,2019-08-08
0.3380943279,2019-08-08
0.3222562267,2019-08-08
0.3393389625,2019-08-08
0.1093465815,2019-08-13
0.2395508214,2019-08-13
0.06628265939,2019-08-13
0.2340932983,2019-08-13
0.01919141637,2019-08-18
0.003239884562,2019-08-18
0.02009140952,2019-08-18
0.002235487525,2019-08-18
0.2829077241,2019-08-23
0.3268089255,2019-08-23
0.216815345,2019-08-23
0.3095350296,2019-08-23
0.2105379911,2019-08-28
0.2495313162,2019-08-28
0.2248670323,2019-08-28
0.2654254085,2019-08-28
0.2227623597,2019-09-02
0.3280945873,2019-09-02
0.2200527475,2019-09-02
0.3350067973,2019-09-02
0.1939332372,2019-09-07
0.2445380135,2019-09-07
0.15357496,2019-09-07
0.2513705457,2019-09-07
0.1898521188,2019-09-12
0.2208823404,2019-09-12
0.169279506,2019-09-12
0.232973005,2019-09-12
0.1584408309,2019-09-17
0.297370895,2019-09-17
0.1940204583,2019-09-17
0.3295076243,2019-09-17
0.07520416086,2019-09-22
0.137767311,2019-09-22
0.04149824919,2019-09-22
0.07677370098,2019-09-22
0.03779126888,2019-09-27
0.2857380513,2019-09-27
0.05412594165,2019-09-27
0.2903724172,2019-09-27
0.1544022951,2019-10-02
0.2314693711,2019-10-02
0.1390891506,2019-10-02
0.2194135738,2019-10-02
0.1500512021,2019-10-07
0.2282743896,2019-10-07
0.1448041134,2019-10-07
0.2194986383,2019-10-07
0.2147576172,2019-10-12
0.2425163435,2019-10-12
0.2349439389,2019-10-12
0.2343475956,2019-10-12
0.1614407117,2019-10-17
0.1738776723,2019-10-17
0.1767710235,2019-10-17
0.1783762386,2019-10-17
0.1415941883,2019-10-22
0.2303058262,2019-10-22
0.1706291414,2019-10-22
0.2076841823,2019-10-22
0.1715927974,2019-10-27
0.1690223216,2019-10-27
0.1819867557,2019-10-27
0.1620611961,2019-10-27
0.03126660097,2019-11-01
0.04154233869,2019-11-01
0.04072305323,2019-11-01
0.04825984131,2019-11-01
0.1843552035,2019-11-06
0.129518571,2019-11-06
0.1827535251,2019-11-06
0.1193337616,2019-11-06
0.08873611234,2019-11-11
0.07987359449,2019-11-11
0.08117327625,2019-11-11
0.07857590631,2019-11-11
0.1630006323,2019-11-16
0.1372493505,2019-11-16
0.1795101932,2019-11-16
0.1380600131,2019-11-16
0.07964569166,2019-11-21
0.08640297191,2019-11-21
0.0770389422,2019-11-21
0.08151929384,2019-11-21
0.08466996574,2019-11-26
0.03391068371,2019-11-26
0.07393610864,2019-11-26
0.04733301754,2019-11-26
0.1948039497,2019-12-01
0.1541280531,2019-12-01
0.1840906801,2019-12-01
0.1708219343,2019-12-01
0.1529864021,2019-12-06
0.1109131307,2019-12-06
0.1354402,2019-12-06
0.1366638833,2019-12-06
0.04872235704,2019-12-11
0.04512029976,2019-12-11
0.03768198453,2019-12-11
0.05653550308,2019-12-11
0.005072670103,2019-12-16
0.001793187728,2019-12-16
0.002425763452,2019-12-16
7.33E-04,2019-12-16
0.01496017893,2019-12-21
0.006619859796,2019-12-21
0.02009790701,2019-12-21
0.01251061399,2019-12-21
0.03357528059,2019-12-26
0.02682916284,2019-12-26
0.04542212272,2019-12-26
0.0281483172,2019-12-26
0.1306414266,2019-12-31
0.09328038526,2019-12-31
0.1065801709,2019-12-31
0.1161452198,2019-12-31
0.2197907776,2020-01-05
0.2511279618,2020-01-05
0.1534090635,2020-01-05
0.2718028474,2020-01-05
0.2051578377,2020-01-10
0.2953545237,2020-01-10
0.1958400359,2020-01-10
0.3118724643,2020-01-10
0.233471719,2020-01-15
0.3073886861,2020-01-15
0.165895482,2020-01-15
0.3177940139,2020-01-15
0.04064788253,2020-01-20
0.08197507615,2020-01-20
0.04034546054,2020-01-20
0.0730316504,2020-01-20
0.3013591071,2020-01-25
0.3509910585,2020-01-25
0.1983933543,2020-01-25
0.3473808205,2020-01-25
0.2546872282,2020-01-30
0.3946959044,2020-01-30
0.2115099122,2020-01-30
0.4072161427,2020-01-30
0.2439396997,2020-02-04
0.2117395406,2020-02-04
0.1393994831,2020-02-04
0.2388886065,2020-02-04
0.2334855957,2020-02-09
0.3248274386,2020-02-09
0.1692996853,2020-02-09
0.3746351259,2020-02-09
0.3323830221,2020-02-14
0.4220715189,2020-02-14
0.2272325581,2020-02-14
0.436764754,2020-02-14
0.1779858742,2020-02-19
0.3442555957,2020-02-19
0.1288805481,2020-02-19
0.3562914693,2020-02-19
0.2742662211,2020-02-24
0.3776959042,2020-02-24
0.1955138117,2020-02-24
0.4015535723,2020-02-24
0.126129065,2020-02-29
0.09899632838,2020-02-29
0.1189926231,2020-02-29
0.1800206635,2020-02-29
0.2365715906,2020-03-05
0.3068695819,2020-03-05
0.1315681566,2020-03-05
0.270293814,2020-03-05
0.3522056017,2020-03-10
0.4295769661,2020-03-10
0.2702547971,2020-03-10
0.4428479964,2020-03-10
0.26394335,2020-03-15
0.3772138606,2020-03-15
0.1793275445,2020-03-15
0.3867723,2020-03-15
0.2575122082,2020-03-20
0.3198789496,2020-03-20
0.1979010928,2020-03-20
0.3265274226,2020-03-20
0.3175500432,2020-03-25
0.3702268616,2020-03-25
0.2782264377,2020-03-25
0.3783929566,2020-03-25
0.2996783753,2020-03-30
0.3619368886,2020-03-30
0.2866811477,2020-03-30
0.3637828902,2020-03-30
0.2592552599,2020-04-04
0.2999627651,2020-04-04
0.2674039158,2020-04-04
0.2970281302,2020-04-04
0.1972439595,2020-04-09
0.2242373941,2020-04-09
0.2060562099,2020-04-09
0.222852085,2020-04-09
0.08860075536,2020-04-14
0.1622612932,2020-04-14
0.1233550897,2020-04-14
0.1734252471,2020-04-14
0.2002923897,2020-04-19
0.1919575995,2020-04-19
0.2389569447,2020-04-19
0.1969535959,2020-04-19
0.179841146,2020-04-24
0.1704333008,2020-04-24
0.2207602276,2020-04-24
0.1749559553,2020-04-24
0.1690457988,2020-04-29
0.1477995256,2020-04-29
0.2058876487,2020-04-29
0.1508996343,2020-04-29
0.122887716,2020-05-04
0.1591941978,2020-05-04
0.1487527942,2020-05-04
0.1750031145,2020-05-04
0.1586263533,2020-05-09
0.1433732222,2020-05-09
0.1942852665,2020-05-09
0.1502608412,2020-05-09
0.1448363039,2020-05-14
0.124420155,2020-05-14
0.1775266932,2020-05-14
0.1292607375,2020-05-14
0.156566707,2020-05-24
0.1378955018,2020-05-24
0.1902953537,2020-05-24
0.1455952628,2020-05-24
0.05923939359,2020-05-29
0.08365991466,2020-05-29
0.08152473424,2020-05-29
0.0899572098,2020-05-29
0.1526042287,2020-06-03
0.1735167508,2020-06-03
0.1914539097,2020-06-03
0.1808794853,2020-06-03
0.1783754731,2020-06-08
0.1921606837,2020-06-08
0.2210445426,2020-06-08
0.2010922035,2020-06-08
0.1040688501,2020-06-13
0.1061989782,2020-06-13
0.1474201313,2020-06-13
0.1178423255,2020-06-13
0.1862874732,2020-06-18
0.2164499915,2020-06-18
0.2266189942,2020-06-18
0.2192881711,2020-06-18
0.1538794498,2020-06-23
0.08771921896,2020-06-23
0.1628990887,2020-06-23
0.08904103329,2020-06-23
0.1546319312,2020-06-28
0.1247912309,2020-06-28
0.1901316707,2020-06-28
0.1695846827,2020-06-28
0.1532593006,2020-07-03
0.1674538948,2020-07-03
0.1646797886,2020-07-03
0.1648700263,2020-07-03
0.009656505232,2020-07-08
0.01745916802,2020-07-08
-2.73E-04,2020-07-08
0.006693065617,2020-07-08
0.2583883146,2020-07-13
0.277056764,2020-07-13
